Drone position: (0.2868848837484671, 4.914508080586439) at time 158.956
Drone position: (0.2868848793644645, 4.992339647253352) at time 159.0
Drone position: (0.2944344775791303, 5.059052416161487) at time 159.032
Drone position: (0.29443447365073583, 5.125765185678004) at time 159.072
Drone position: (0.30198407007657074, 5.214715542010015) at time 159.124
Drone position: (0.3095336653434513, 5.314784692461229) at time 159.164
Drone position: (0.3170832626270469, 5.381497457346073) at time 159.204
Drone position: (0.3170832610426717, 5.403735044440989) at time 159.224
Drone position: (0.32463285951621557, 5.448210220644566) at time 159.24
Drone position: (0.3321824560600156, 5.514922983350842) at time 159.288
Drone position: (0.3397320527654751, 5.5816357474256675) at time 159.34
Drone position: (0.3472816464533445, 5.681704889710813) at time 159.384
Drone position: (0.3472816412913074, 5.748417649762229) at time 159.424
Drone position: (0.3548312396706351, 5.781774029812986) at time 159.44
Drone position: (0.3548312371858632, 5.815130410917982) at time 159.46
Drone position: (0.3548312327807881, 5.870724373273205) at time 159.512
Drone position: (0.36238082832997526, 5.937437133206325) at time 159.556
Drone position: (0.36238082023211543, 6.037506267269946) at time 159.608
Drone position: (0.36238081509082487, 6.104219024616651) at time 159.652
Drone position: (0.36993041348040007, 6.126456609657971) at time 159.664
Drone position: (0.3699304105445773, 6.15981298493101) at time 159.68
Drone position: (0.36993040519630926, 6.226525742363405) at time 159.724
Drone position: (0.36993040058425664, 6.282119702282651) at time 159.772
Drone position: (0.3623807954664939, 6.348832457657182) at time 159.812
Drone position: (0.3623807889454439, 6.426664000113583) at time 159.864
Drone position: (0.3548311845871649, 6.482257958035188) at time 159.912
Drone position: (0.35483118195391466, 6.515614334967537) at time 159.92
Drone position: (0.3472815806465812, 6.537851918864204) at time 159.944
Drone position: (0.34728157617291977, 6.59344587693969) at time 159.984
Drone position: (0.339731973429043, 6.6379210395742065) at time 160.024
Drone position: (0.3321823696954367, 6.693514998426281) at time 160.072
Drone position: (0.3170831671831234, 6.749108956560132) at time 160.116
Drone position: (0.3095335645801595, 6.793584119485407) at time 160.152
Drone position: (0.3019839624118971, 6.838059280165007) at time 160.196
Drone position: (0.2868847590128647, 6.915890815408716) at time 160.244
Drone position: (0.27178555824960454, 6.960365975224178) at time 160.284
Drone position: (0.271785557008076, 6.982603558255124) at time 160.3
Drone position: (0.26423595668022465, 7.004841137161169) at time 160.324
Drone position: (0.2491367566825501, 7.049316298828275) at time 160.364
Drone position: (0.2340375568232667, 7.09379146117329) at time 160.412
Drone position: (0.22648795622286988, 7.127147826445351) at time 160.456
Drone position: (0.21138875714365657, 7.171622987767323) at time 160.5
Drone position: (0.1962895580851896, 7.216098148906252) at time 160.54
Drone position: (0.18119035914502413, 7.2605733001970805) at time 160.584
Drone position: (0.1660911608911988, 7.305048457150519) at time 160.636
Drone position: (0.15854156203683667, 7.316167241109133) at time 160.644
Drone position: (0.1509919631703518, 7.338404823537793) at time 160.66
Drone position: (0.13589276560742392, 7.371761185693158) at time 160.712
Drone position: (0.12079356844144473, 7.405117551569392) at time 160.756
Drone position: (0.09814477322696358, 7.449592699423855) at time 160.804
Drone position: (0.0905951748897168, 7.460711486316308) at time 160.824
Drone position: (0.08304557674919988, 7.482949064350006) at time 160.844
Drone position: (0.06794638022237798, 7.516305426390771) at time 160.892
Drone position: (0.05284718434349689, 7.5496617906830625) at time 160.932
Drone position: (0.03774798860194861, 7.57189935872648) at time 160.972
Drone position: (0.015099195326491843, 7.605255712699531) at time 161.024
Drone position: (-2.3311463870356874e-11, 7.63861207617729) at time 161.072
Drone position: (-0.007549597519467377, 7.649730857401213) at time 161.08
Drone position: (-0.007549597423375909, 7.660849643789255) at time 161.104
Drone position: (-0.015099194804409022, 7.671968425630861) at time 161.136
Drone position: (-0.0377479868367826, 7.705324778773207) at time 161.188
Drone position: (-0.05284718140383382, 7.727562346749517) at time 161.224
Drone position: (-0.0528471809726212, 7.749799923695877) at time 161.244
Drone position: (-0.06039677826179968, 7.760918704834108) at time 161.26
Drone position: (-0.07549597238032191, 7.783156277138273) at time 161.308
Drone position: (-0.08304556915319183, 7.805393847815223) at time 161.352
Drone position: (-0.09814476290917917, 7.816512623358512) at time 161.396
Drone position: (-0.10569435956440443, 7.83875019363558) at time 161.44
Drone position: (-0.12079355247522416, 7.872106544062596) at time 161.488
Drone position: (-0.12834314897489207, 7.883225318294896) at time 161.532
Drone position: (-0.13589274558529574, 7.8943441049963505) at time 161.544
Drone position: (-0.13589274510860483, 7.905462885136377) at time 161.564
Drone position: (-0.1509919384506373, 7.916581659247449) at time 161.608
Drone position: (-0.15854153467100096, 7.927700435078833) at time 161.656
Drone position: (-0.1660911302435839, 7.949938006622586) at time 161.7
Drone position: (-0.17364072631733407, 7.961056774413463) at time 161.744
Drone position: (-0.1811903219131853, 7.983294344005741) at time 161.796
Drone position: (-0.18873991850390093, 7.983294333597369) at time 161.804
Drone position: (-0.18873991796684597, 7.994413121692211) at time 161.824
